Datum;Pocet.potvrdenych.PCR.testami;Dennych.PCR.testov;Dennych.PCR.prirastkov;Pocet.umrti;AgTests;AgPosit;Pocet.hospitalizovanych
06.03.2020;1;378;1;0;NaN;NaN;1
07.03.2020;3;66;2;0;NaN;NaN;2
08.03.2020;5;76;2;0;NaN;NaN;5
09.03.2020;7;69;2;0;NaN;NaN;5
10.03.2020;7;111;0;0;NaN;NaN;7
11.03.2020;10;97;3;0;NaN;NaN;7
12.03.2020;21;95;11;0;NaN;NaN;8
13.03.2020;32;58;11;0;NaN;NaN;11
14.03.2020;44;197;12;0;NaN;NaN;14
15.03.2020;61;289;17;0;NaN;NaN;21
16.03.2020;72;159;11;0;NaN;NaN;26
17.03.2020;96;318;24;0;NaN;NaN;25
18.03.2020;104;225;8;0;NaN;NaN;26
19.03.2020;123;301;19;0;NaN;NaN;26
20.03.2020;137;368;14;0;NaN;NaN;27
21.03.2020;178;440;41;0;NaN;NaN;29
22.03.2020;185;242;7;0;NaN;NaN;36
23.03.2020;204;451;19;0;NaN;NaN;31
24.03.2020;216;476;12;0;NaN;NaN;28
25.03.2020;226;335;10;0;NaN;NaN;27
26.03.2020;269;913;43;0;NaN;NaN;26
27.03.2020;292;747;23;0;NaN;NaN;33
28.03.2020;314;720;22;0;NaN;NaN;34
29.03.2020;336;401;22;0;NaN;NaN;35
30.03.2020;363;688;27;1;NaN;NaN;33
31.03.2020;400;877;37;1;NaN;NaN;31
01.04.2020;426;1191;26;1;NaN;NaN;34
02.04.2020;450;1454;24;1;NaN;NaN;39
03.04.2020;471;1889;21;1;NaN;NaN;35
04.04.2020;485;1524;14;1;NaN;NaN;38
05.04.2020;534;1036;49;2;NaN;NaN;37
06.04.2020;581;1448;47;2;NaN;NaN;38
07.04.2020;682;2042;101;2;NaN;NaN;43
08.04.2020;701;1690;19;2;NaN;NaN;43
09.04.2020;715;2301;14;2;NaN;NaN;44
10.04.2020;728;2174;13;2;NaN;NaN;47
11.04.2020;742;1580;14;2;NaN;NaN;50
12.04.2020;769;1324;27;2;NaN;NaN;52
13.04.2020;835;1302;66;2;NaN;NaN;58
14.04.2020;863;1439;28;6;NaN;NaN;60
15.04.2020;977;2967;114;8;NaN;NaN;62
16.04.2020;1049;3351;72;9;NaN;NaN;65
17.04.2020;1089;3144;40;11;NaN;NaN;65
18.04.2020;1161;3323;72;12;NaN;NaN;65
19.04.2020;1173;2458;12;13;NaN;NaN;67
20.04.2020;1199;2694;26;14;NaN;NaN;60
21.04.2020;1244;3468;45;14;NaN;NaN;58
22.04.2020;1325;4525;81;15;NaN;NaN;55
23.04.2020;1360;3840;35;17;NaN;NaN;60
24.04.2020;1373;4828;13;17;NaN;NaN;54
25.04.2020;1379;4839;6;18;NaN;NaN;51
26.04.2020;1381;3171;2;18;NaN;NaN;52
27.04.2020;1384;1767;3;20;NaN;NaN;50
28.04.2020;1391;5472;7;21;NaN;NaN;43
29.04.2020;1396;4584;5;23;NaN;NaN;42
30.04.2020;1403;5150;7;23;NaN;NaN;38
01.05.2020;1407;3698;4;24;NaN;NaN;36
02.05.2020;1408;1450;1;24;NaN;NaN;37
03.05.2020;1413;1584;5;25;NaN;NaN;35
04.05.2020;1421;2060;8;25;NaN;NaN;31
05.05.2020;1429;4742;8;25;NaN;NaN;29
06.05.2020;1445;5161;16;26;NaN;NaN;24
07.05.2020;1455;4694;10;26;NaN;NaN;24
08.05.2020;1455;3910;0;26;NaN;NaN;21
09.05.2020;1457;1488;2;26;NaN;NaN;21
10.05.2020;1457;786;0;26;NaN;NaN;21
11.05.2020;1465;2063;8;27;NaN;NaN;19
12.05.2020;1469;4326;4;27;NaN;NaN;17
13.05.2020;1477;4876;8;27;NaN;NaN;16
14.05.2020;1480;3992;3;27;NaN;NaN;17
15.05.2020;1493;4084;13;28;NaN;NaN;15
16.05.2020;1494;2476;1;28;NaN;NaN;16
17.05.2020;1495;971;1;28;NaN;NaN;17
18.05.2020;1495;2041;0;28;NaN;NaN;15
19.05.2020;1496;3371;1;28;NaN;NaN;14
20.05.2020;1502;2933;6;28;NaN;NaN;13
21.05.2020;1503;2751;1;28;NaN;NaN;12
22.05.2020;1504;2236;1;28;NaN;NaN;11
23.05.2020;1509;1649;5;28;NaN;NaN;11
24.05.2020;1511;645;2;28;NaN;NaN;11
25.05.2020;1513;1464;2;28;NaN;NaN;8
26.05.2020;1515;2839;2;28;NaN;NaN;8
27.05.2020;1520;2352;5;28;NaN;NaN;7
28.05.2020;1520;1848;0;28;NaN;NaN;6
29.05.2020;1521;3433;1;28;NaN;NaN;5
30.05.2020;1521;1606;0;28;NaN;NaN;5
31.05.2020;1522;274;1;28;NaN;NaN;5
01.06.2020;1522;6418;0;28;NaN;NaN;4
02.06.2020;1525;2336;3;28;NaN;NaN;4
03.06.2020;1526;2135;1;28;NaN;NaN;4
04.06.2020;1526;1832;0;28;NaN;NaN;4
05.06.2020;1528;2639;2;28;NaN;NaN;3
06.06.2020;1528;1180;0;28;NaN;NaN;3
07.06.2020;1530;160;2;28;NaN;NaN;3
08.06.2020;1531;851;1;28;NaN;NaN;NaN
09.06.2020;1533;1545;2;28;NaN;NaN;NaN
10.06.2020;1541;1500;8;28;NaN;NaN;NaN
11.06.2020;1542;1262;1;28;NaN;NaN;2
12.06.2020;1545;1511;3;28;NaN;NaN;2
13.06.2020;1548;479;3;28;NaN;NaN;2
14.06.2020;1552;47;4;28;NaN;NaN;2
15.06.2020;1552;847;0;28;NaN;NaN;2
16.06.2020;1561;1163;9;28;NaN;NaN;1
17.06.2020;1562;787;1;28;NaN;NaN;1
18.06.2020;1576;806;14;28;NaN;NaN;3
19.06.2020;1586;1278;10;28;NaN;NaN;2
20.06.2020;1587;301;1;28;NaN;NaN;1
21.06.2020;1588;41;1;28;NaN;NaN;2
22.06.2020;1589;661;1;28;NaN;NaN;3
23.06.2020;1607;1257;18;28;NaN;NaN;4
24.06.2020;1630;936;23;28;NaN;NaN;5
25.06.2020;1643;1515;13;28;NaN;NaN;5
26.06.2020;1657;1611;14;28;NaN;NaN;6
27.06.2020;1664;931;7;28;NaN;NaN;4
28.06.2020;1665;62;1;28;NaN;NaN;4
29.06.2020;1667;784;2;28;NaN;NaN;3
30.06.2020;1687;2063;20;28;NaN;NaN;3
01.07.2020;1700;1708;13;28;NaN;NaN;4
02.07.2020;1720;1801;20;28;NaN;NaN;5
03.07.2020;1749;2216;29;28;NaN;NaN;6
04.07.2020;1764;808;15;28;NaN;NaN;7
05.07.2020;1765;50;1;28;NaN;NaN;7
06.07.2020;1767;873;2;28;NaN;NaN;9
07.07.2020;1798;2225;31;28;NaN;NaN;9
08.07.2020;1851;2284;53;28;NaN;NaN;12
09.07.2020;1870;2172;19;28;NaN;NaN;13
10.07.2020;1893;2879;23;28;NaN;NaN;13
11.07.2020;1901;960;8;28;NaN;NaN;13
12.07.2020;1902;279;1;28;NaN;NaN;14
13.07.2020;1908;1163;6;28;NaN;NaN;15
14.07.2020;1927;2205;19;28;NaN;NaN;14
15.07.2020;1951;2336;24;28;NaN;NaN;15
16.07.2020;1965;1862;14;28;NaN;NaN;15
17.07.2020;1976;2161;11;28;NaN;NaN;14
18.07.2020;1979;410;3;28;NaN;NaN;14
19.07.2020;1980;24;1;28;NaN;NaN;15
20.07.2020;2021;3333;41;28;NaN;NaN;15
21.07.2020;2058;2571;37;28;NaN;NaN;17
22.07.2020;2089;2251;31;28;NaN;NaN;17
23.07.2020;2118;2049;29;28;NaN;NaN;18
24.07.2020;2141;2275;23;28;NaN;NaN;21
25.07.2020;2179;767;38;28;NaN;NaN;24
26.07.2020;2181;216;2;28;NaN;NaN;24
27.07.2020;2204;1548;23;28;NaN;NaN;33
